,Date,Open,High,Low,Close,Volume
24936,2020-06-25 13:00:00,232.16000000,233.31000000,231.71000000,232.71000000,20152.35900000
24937,2020-06-25 14:00:00,232.71000000,234.81000000,232.71000000,233.96000000,27971.23551000
24938,2020-06-25 15:00:00,233.97000000,234.36000000,233.10000000,233.72000000,16565.68729000
24939,2020-06-25 16:00:00,233.70000000,234.58000000,233.06000000,234.06000000,21693.39416000
24940,2020-06-25 17:00:00,234.06000000,234.22000000,233.17000000,233.67000000,15024.35876000
24941,2020-06-25 18:00:00,233.66000000,233.91000000,233.01000000,233.03000000,10323.33942000
24942,2020-06-25 19:00:00,233.03000000,233.89000000,232.46000000,233.75000000,14835.56858000
24943,2020-06-25 20:00:00,233.74000000,234.09000000,233.63000000,233.71000000,7721.98827000
24944,2020-06-25 21:00:00,233.71000000,234.87000000,233.66000000,234.17000000,11987.95718000
24945,2020-06-25 22:00:00,234.18000000,234.46000000,231.26000000,232.78000000,25924.21926000
24946,2020-06-25 23:00:00,232.79000000,232.89000000,232.21000000,232.50000000,10590.24912000
24947,2020-06-26 00:00:00,232.49000000,233.42000000,230.85000000,233.00000000,31031.80878000
24948,2020-06-26 01:00:00,232.99000000,233.61000000,232.73000000,232.93000000,13744.72796000
24949,2020-06-26 02:00:00,232.93000000,232.93000000,232.15000000,232.45000000,13256.04928000
24950,2020-06-26 03:00:00,232.44000000,232.53000000,231.52000000,232.32000000,19190.62849000
24951,2020-06-26 04:00:00,232.31000000,233.02000000,231.81000000,232.73000000,13789.34056000
24952,2020-06-26 05:00:00,232.73000000,232.95000000,231.24000000,231.71000000,23491.25383000
24953,2020-06-26 06:00:00,231.72000000,232.00000000,230.76000000,231.28000000,19765.61845000
24954,2020-06-26 07:00:00,231.28000000,231.30000000,228.30000000,229.20000000,85312.89109000
24955,2020-06-26 08:00:00,229.21000000,230.67000000,228.76000000,229.72000000,29356.22466000
24956,2020-06-26 09:00:00,229.73000000,231.85000000,228.52000000,231.34000000,41686.51889000
24957,2020-06-26 10:00:00,231.34000000,232.38000000,231.07000000,231.46000000,30735.60307000
24958,2020-06-26 11:00:00,231.46000000,231.62000000,229.64000000,230.88000000,24275.88897000
24959,2020-06-26 12:00:00,230.88000000,232.05000000,230.85000000,231.57000000,27169.53651000
24960,2020-06-26 13:00:00,231.58000000,231.98000000,230.01000000,230.06000000,23470.97251000
24961,2020-06-26 14:00:00,230.05000000,230.80000000,227.75000000,228.94000000,70703.45661000
